Metric,Value
Annual Return,41.6%
Volatility,19.5%
Sharpe Ratio,1.90
Sortino Ratio,3.23
Treynor Ratio,0.37
Information Ratio,1.20
Max Drawdown,-16.0%
VaR 95%,-1.6%
CVaR 95%,-2.4%
VaR 99%,-2.7%
CVaR 99%,-3.3%
Beta,1.00
Alpha,17.5%
Diversification Score,86/100

Date,Portfolio Return,Cumulative Return
2025-08-22,0.017708,0.017708
2025-08-25,0.001509,0.019244
2025-08-26,0.001137,0.020403
2025-08-27,0.004855,0.025357
2025-08-28,0.012032,0.037694
2025-08-29,-0.000012,0.037682
2025-09-02,-0.007825,0.029562
2025-09-03,0.048118,0.079103
2025-09-04,0.005974,0.08555
2025-09-05,-0.001653,0.083755
2025-09-08,-0.003107,0.080388
2025-09-09,0.001485,0.081992
2025-09-10,-0.014332,0.066485
2025-09-11,0.008396,0.075439
2025-09-12,0.01227,0.088634
2025-09-15,0.0225,0.113128
2025-09-16,-0.000448,0.11263
2025-09-17,-0.000198,0.112409
2025-09-18,0.000644,0.113125
2025-09-19,0.021975,0.137586
2025-09-22,0.015063,0.154721
2025-09-23,-0.006215,0.147545
2025-09-24,-0.009437,0.136715
2025-09-25,0.00499,0.142387
2025-09-26,0.000414,0.14286
2025-09-29,-0.003927,0.138372
2025-09-30,0.000418,0.138848
2025-10-01,0.004672,0.144169
2025-10-02,0.00243,0.14695
2025-10-03,0.001752,0.148959
2025-10-06,0.009277,0.159617
2025-10-07,-0.008512,0.149746
2025-10-08,0.001556,0.151536
2025-10-09,-0.012269,0.137407
2025-10-10,-0.027119,0.106562
2025-10-13,0.016497,0.124817
2025-10-14,0.001802,0.126844
2025-10-15,0.010478,0.13865
2025-10-16,-0.003583,0.13457
2025-10-17,0.012091,0.148289
2025-10-20,0.023409,0.175169
2025-10-21,-0.006757,0.167228
2025-10-22,-0.004559,0.161907
2025-10-23,0.003842,0.166372
2025-10-24,0.015994,0.185027
2025-10-27,0.025617,0.215384
2025-10-28,0.002267,0.218139
2025-10-29,0.00994,0.230247
2025-10-30,0.005162,0.236597
2025-10-31,-0.005262,0.23009
2025-11-03,0.000525,0.230736
2025-11-04,-0.006813,0.22235
2025-11-05,0.005456,0.229019
2025-11-06,-0.004299,0.223736
2025-11-07,-0.009315,0.212337
2025-11-10,0.019626,0.23613
2025-11-11,0.012253,0.251277
2025-11-12,-0.007222,0.24224
2025-11-13,-0.013708,0.225212
2025-11-14,-0.000609,0.224466
2025-11-17,0.001234,0.225976
2025-11-18,-0.006634,0.217843
2025-11-19,0.009163,0.229002
2025-11-20,-0.011141,0.215309
2025-11-21,0.017983,0.237163
2025-11-24,0.029528,0.273694
2025-11-25,0.008206,0.284146
2025-11-26,0.001078,0.28553
2025-11-28,0.005193,0.292206
2025-12-01,-0.000997,0.290918
2025-12-02,0.007319,0.300366
2025-12-03,-0.004428,0.294609
2025-12-04,-0.006209,0.28657
2025-12-05,0.001829,0.288923
2025-12-08,-0.005715,0.281557
2025-12-09,0.002902,0.285276
2025-12-10,0.000135,0.285449
2025-12-11,-0.007248,0.276133
2025-12-12,-0.005159,0.26955
2025-12-15,-0.009556,0.257418
2025-12-16,-0.000288,0.257056
2025-12-17,-0.015519,0.237547
2025-12-18,0.010618,0.250687
2025-12-19,0.008549,0.261379
2025-12-22,-0.001993,0.258866
2025-12-23,0.008138,0.269111
2025-12-24,0.002626,0.272443
2025-12-26,-0.001433,0.27062
2025-12-29,0.000381,0.271105
2025-12-30,-0.00064,0.270291
2025-12-31,-0.004605,0.264442
2026-01-02,-0.003767,0.259679
2026-01-05,-0.004776,0.253663
2026-01-06,-0.008062,0.243556
2026-01-07,0.006931,0.252174
2026-01-08,-0.000948,0.250987
2026-01-09,0.004343,0.25642
2026-01-12,0.003982,0.261424
2026-01-13,0.002677,0.264801
2026-01-14,-0.007095,0.255827
2026-01-15,-0.007364,0.246579
2026-01-16,-0.006009,0.239088
2026-01-20,-0.026206,0.206617
2026-01-21,0.003574,0.21093
2026-01-22,0.006851,0.219226
2026-01-23,0.003729,0.223773
2026-01-26,0.020835,0.249269
2026-01-27,0.01099,0.262999
2026-01-28,-0.00125,0.26142
2026-01-29,-0.015703,0.241612
2026-01-30,0.000271,0.241948
2026-02-02,0.020542,0.267461
2026-02-03,-0.010886,0.253662
2026-02-04,0.006606,0.261944
2026-02-05,-0.013264,0.245206
2026-02-06,-0.000934,0.244043
2026-02-09,0.002866,0.247609
2026-02-10,-0.007692,0.238013
2026-02-11,-0.009657,0.226057
2026-02-12,-0.025949,0.194242
2026-02-13,-0.014092,0.177413
2026-02-17,0.007804,0.186601
2026-02-18,0.003731,0.191029
2026-02-19,-0.007075,0.182602
2026-02-20,0.019791,0.206007
2026-02-23,-0.007834,0.19656
2026-02-24,0.011934,0.210839
2026-02-25,0.011952,0.225311
2026-02-26,-0.007471,0.216157
2026-02-27,-0.014381,0.198667
2026-03-02,-0.001625,0.196719
2026-03-03,-0.002029,0.194291
2026-03-04,-0.001933,0.191983
2026-03-05,-0.003464,0.187853
2026-03-06,-0.008432,0.177838
2026-03-09,0.013584,0.193838
2026-03-10,0.000505,0.194441
2026-03-11,0.001333,0.196033
2026-03-12,-0.015933,0.176976
2026-03-13,-0.014666,0.159714
2026-03-16,0.010884,0.172336
2026-03-17,0.008152,0.181893
2026-03-18,-0.015149,0.163989
2026-03-19,-0.003878,0.159474
2026-03-20,-0.012396,0.145101
2026-03-23,0.008169,0.154455
2026-03-24,-0.018413,0.133198
2026-03-25,0.001356,0.134734
2026-03-26,-0.014045,0.118797
2026-03-27,-0.020524,0.095834
2026-03-30,-0.003658,0.091825
2026-03-31,0.03706,0.132289
2026-04-01,0.014359,0.148547
2026-04-02,0.001017,0.149715
2026-04-06,0.009663,0.160824
2026-04-07,-0.00349,0.156773
2026-04-08,0.023871,0.184386
2026-04-09,0.003296,0.18829
2026-04-10,-0.002594,0.185207
2026-04-13,0.009842,0.196872
2026-04-14,0.016381,0.216478
2026-04-15,0.027254,0.249632
2026-04-16,-0.00156,0.247682
2026-04-17,0.018638,0.270937
2026-04-20,-0.001885,0.268542
2026-04-21,-0.013389,0.251557
2026-04-22,0.023364,0.280798
2026-04-23,-0.008408,0.270029
2026-04-24,0.006118,0.277799
2026-04-27,0.000202,0.278057
2026-04-28,0.006883,0.286854
2026-04-29,-0.003109,0.282854
2026-04-30,0.027305,0.317882
2026-05-01,0.018821,0.342686
2026-05-04,-0.007875,0.332113
2026-05-05,0.015368,0.352585
2026-05-06,0.014965,0.372826
2026-05-07,0.003336,0.377405
2026-05-08,0.008745,0.389451
2026-05-11,-0.012079,0.372668
2026-05-12,-0.000375,0.372153
2026-05-13,0.018206,0.397135
2026-05-14,-0.000087,0.397014
2026-05-15,0.0059,0.405256
2026-05-18,-0.002632,0.401557
2026-05-19,-0.009258,0.388582
2026-05-20,0.007876,0.399517
2026-05-21,0.002458,0.402958
2026-05-22,0.001299,0.40478
2026-05-26,0.003216,0.409297
2026-05-27,0.001922,0.412006
2026-05-28,0.01089,0.427382
2026-05-29,0.002414,0.430828
2026-06-01,-0.006979,0.420842
2026-06-02,-0.008823,0.408306
2026-06-03,-0.016435,0.38516
2026-06-04,0.014187,0.404812
2026-06-05,-0.014584,0.384323
2026-06-08,-0.015589,0.362743
2026-06-09,-0.019806,0.335753
2026-06-10,-0.008896,0.32387
2026-06-11,0.003823,0.328931
2026-06-12,-0.004828,0.322515
2026-06-15,0.022158,0.351819
2026-06-16,0.004705,0.35818
2026-06-17,-0.021546,0.328917
2026-06-18,0.007346,0.338679
2026-06-22,-0.025102,0.305076
2026-06-23,-0.003728,0.30021
2026-06-24,-0.007493,0.290467
2026-06-25,-0.036403,0.24349
2026-06-26,0.02,0.26836
2026-06-29,0.010553,0.281746
2026-06-30,0.018286,0.305184
2026-07-01,0.017838,0.328466
2026-07-02,0.023993,0.360339
2026-07-06,0.009991,0.373931
2026-07-07,-0.001202,0.37228
2026-07-08,-0.00375,0.367134
2026-07-09,0.001798,0.369592
2026-07-10,-0.002483,0.366191
2026-07-13,0.001663,0.368463
2026-07-14,-0.000048,0.368397
2026-07-15,0.034686,0.415861
2026-07-16,-0.004154,0.40998
2026-07-17,-0.010533,0.395129
2026-07-20,0.000007,0.395139
2026-07-21,-0.005456,0.387527
2026-07-22,-0.011416,0.371687
2026-07-23,-0.034707,0.32408
2026-07-24,0.01814,0.348099
2026-07-27,0.016576,0.370445
2026-07-28,0.01395,0.389563
2026-07-29,-0.000977,0.388206
2026-07-30,0.023479,0.420799
2026-07-31,-0.003929,0.415217
2026-08-03,0.018958,0.442047
2026-08-04,0.014829,0.46343
2026-08-05,-0.013567,0.443576
2026-08-06,0.003069,0.448005
2026-08-07,-0.001879,0.445284
2026-08-10,-0.001254,0.443472
2026-08-11,-0.018804,0.416329
